ITP Panorama apm2000   Version Aug 24 2022 - Unix
source_name	source_type	error_number	error_text	source_line_count	source_file_name	source_file_type	date 
BNK1CCA	cbl			0	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl			27	DEFVAR.CPY	BNK1CCA	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl			64	BNK1ACC.CPY	BNK1CCA	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl			66	DFHAID.CPY	BNK1CCA	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl			98	INQACCCU.CPY	BNK1CCA	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl			139	ABNDINFO.CPY	BNK1CCA	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: EIBCALEN	162	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: BNK1ACCO	163	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: CUSTNOL	164	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: EIBAID	171	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: EIBAID	177	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: EIBAID	189	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: EIBAID	198	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: EIBAID	210	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: BNK1ACCO	217	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: MESSAGEO	218	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: CUSTNOL	219	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: DFHRESP	233	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: EIBRESP	241	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-RESPCODE	241	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: EIBRESP2	242	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-RESP2CODE	242	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-APPLID	246	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: EIBTASKN	249	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-TASKNO-KEY	249	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: EIBTRNID	250	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-TRANID	250	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-DATE	254	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-TIME	263	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-UTIME-KEY	263	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-CODE	264	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-PROGRAM	266	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-SQLCODE	269	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-RESPCODE	274	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-RESP2CODE	276	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-FREEFORM	280	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: BNK1ACCI	332	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: BNK1ACCI	336	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: DFHRESP	341	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: EIBRESP	350	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-RESPCODE	350	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: EIBRESP2	351	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-RESP2CODE	351	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-APPLID	355	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: EIBTASKN	358	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-TASKNO-KEY	358	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: EIBTRNID	359	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-TRANID	359	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-DATE	363	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-TIME	372	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-UTIME-KEY	372	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-CODE	373	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-PROGRAM	375	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-SQLCODE	378	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-RESPCODE	383	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-RESP2CODE	385	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-FREEFORM	389	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: CUSTNOI	411	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: MESSAGEO	413	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: NUMBER-OF-ACCOUNTS	426	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: COMM-SUCCESS	427	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: CUSTNOI	429	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: CUSTOMER-NUMBER	429	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: COMM-PCB-POINTER	430	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: DFHRESP	443	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: EIBRESP	451	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-RESPCODE	451	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: EIBRESP2	452	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-RESP2CODE	452	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-APPLID	456	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: EIBTASKN	459	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-TASKNO-KEY	459	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: EIBTRNID	460	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-TRANID	460	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-DATE	464	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-TIME	473	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-UTIME-KEY	473	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-CODE	474	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-PROGRAM	476	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-SQLCODE	479	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-RESPCODE	484	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-RESP2CODE	486	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-FREEFORM	490	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: CUSTOMER-FOUND	505	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: MESSAGEO	506	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: CUSTOMER-NUMBER	508	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: MESSAGEO	509	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ACCOUNTO	516	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ACCOUNTO	528	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: NUMBER-OF-ACCOUNTS	531	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: MESSAGEO	534	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: COMM-SUCCESS	534	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: MESSAGEO	535	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: CUSTOMER-NUMBER	537	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: MESSAGEO	540	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: NUMBER-OF-ACCOUNTS	540	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: MESSAGEO	541	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: MESSAGEO	552	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: NUMBER-OF-ACCOUNTS	553	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: COMM-SCODE	555	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: COMM-ACCNO	557	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ACCOUNTO	558	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: COMM-AVAIL-BAL	562	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: COMM-ACTUAL-BAL	568	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: COMM-AVAIL-BAL	574	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: COMM-ACTUAL-BAL	576	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: COMM-ACC-TYPE	584	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ACCOUNTO	606	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: BNK1ACCO	624	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: DFHRESP	630	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: EIBRESP	638	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-RESPCODE	638	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: EIBRESP2	639	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-RESP2CODE	639	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-APPLID	643	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: EIBTASKN	646	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-TASKNO-KEY	646	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: EIBTRNID	647	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-TRANID	647	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-DATE	651	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-TIME	660	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-UTIME-KEY	660	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-CODE	661	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-PROGRAM	663	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-SQLCODE	666	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-RESPCODE	671	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-RESP2CODE	673	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-FREEFORM	677	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: BNK1ACCO	698	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: DFHRESP	704	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: EIBRESP	713	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-RESPCODE	713	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: EIBRESP2	714	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-RESP2CODE	714	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-APPLID	718	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: EIBTASKN	721	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-TASKNO-KEY	721	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: EIBTRNID	722	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-TRANID	722	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-DATE	726	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-TIME	735	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-UTIME-KEY	735	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-CODE	736	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-PROGRAM	738	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-SQLCODE	741	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-RESPCODE	746	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-RESP2CODE	748	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-FREEFORM	752	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: BNK1ACCO	774	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: DFHRESP	781	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: EIBRESP	791	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-RESPCODE	791	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: EIBRESP2	792	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-RESP2CODE	792	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-APPLID	796	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: EIBTASKN	799	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-TASKNO-KEY	799	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: EIBTRNID	800	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-TRANID	800	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-DATE	804	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-TIME	813	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-UTIME-KEY	813	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-CODE	814	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-PROGRAM	816	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-SQLCODE	819	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-RESPCODE	824	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-RESP2CODE	826	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-FREEFORM	830	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: DFHRESP	862	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: EIBRESP	870	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-RESPCODE	870	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: EIBRESP2	871	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-RESP2CODE	871	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-APPLID	875	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: EIBTASKN	878	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-TASKNO-KEY	878	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: EIBTRNID	879	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-TRANID	879	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-DATE	883	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-TIME	892	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-UTIME-KEY	892	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-CODE	893	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-PROGRAM	895	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-SQLCODE	898	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
BNK1CCA	cbl	E-EMSG10010	Error: Variable not in symbol table: ABND-RESPCODE	903	BNK1CCA	cbl	Tue Sep 19 16:39:57 2023
